Time,delta,AngRef,angVelref,Realized,Ref_diff
2.779105902,0.014887187,0.0078904,-0.039738495,-0.011321055,-5.56E-05
2.789482832,0.014773976,0.0078353,-0.039469541,-0.011321055,-5.51E-05
2.799575806,0.014717371,0.0077808,-0.039480028,-0.005660527,-5.45E-05
2.810028791,0.014660766,0.0077268,-0.039488715,-0.005660527,-5.40E-05
2.820353985,0.014519253,0.0076734,-0.039069356,-0.014151318,-5.34E-05
2.83069396,0.014462647,0.0076205,-0.039072071,-0.005660527,-5.29E-05
2.840824842,0.014434345,0.007568,-0.039213907,-0.002830264,-5.25E-05
2.850888968,0.014349437,0.0075161,-0.039069515,-0.008490791,-5.19E-05
2.861252785,0.014236226,0.0074646,-0.038782021,-0.011321055,-5.15E-05
2.87128377,0.014207924,0.0074137,-0.038915464,-0.002830264,-5.09E-05
2.881618977,0.014038108,0.0073631,-0.038340077,-0.016981582,-5.06E-05
2.891986847,0.013981502,0.0073131,-0.038327302,-0.005660527,-5.00E-05
2.902098894,0.013896595,0.0072635,-0.038171342,-0.008490791,-4.96E-05
2.912439823,0.013755081,0.0072143,-0.037730076,-0.014151318,-4.92E-05
2.922472,0.013670173,0.0071655,-0.037569122,-0.008490791,-4.88E-05
2.932985783,0.013556963,0.0071171,-0.037265378,-0.011321055,-4.84E-05
2.942886829,0.013500358,0.0070692,-0.037265378,-0.005660527,-4.79E-05
2.953474998,0.01341545,0.0070216,-0.037074604,-0.008490791,-4.76E-05
2.963369846,0.013358844,0.0069744,-0.037074604,-0.005660527,-4.72E-05
2.973704815,0.013217331,0.0069276,-0.03659221,-0.014151318,-4.68E-05
2.984069824,0.013160726,0.0068812,-0.036560676,-0.005660527,-4.64E-05
2.994088888,0.013104121,0.0068351,-0.036527053,-0.005660527,-4.61E-05
3.004609823,0.013104121,0.0067894,-0.036775416,0,-4.57E-05
3.014633894,0.013075818,0.006744,-0.03687997,-0.002830264,-4.54E-05
3.025011778,0.013047515,0.006699,-0.036983221,-0.002830264,-4.50E-05
3.03508997,0.01299091,0.0066543,-0.036942854,-0.005660527,-4.47E-05
3.045478821,0.012906002,0.0066099,-0.036759936,-0.008490791,-4.44E-05
3.055569887,0.012792792,0.0065658,-0.036433243,-0.011321055,-4.41E-05
3.065818787,0.012764489,0.006522,-0.03652992,-0.002830264,-4.38E-05
3.076210976,0.012707884,0.0064785,-0.0364838,-0.005660527,-4.35E-05
3.086286783,0.012679581,0.0064353,-0.036577173,-0.002830264,-4.32E-05
3.096690893,0.012594673,0.0063924,-0.036386496,-0.008490791,-4.29E-05
3.106729984,0.012538068,0.0063498,-0.036335121,-0.005660527,-4.26E-05
3.117121935,0.012424857,0.0063075,-0.035999627,-0.011321055,-4.23E-05
3.127166986,0.012368252,0.0062654,-0.035945517,-0.005660527,-4.21E-05
3.137711763,0.012283344,0.0062236,-0.035749106,-0.008490791,-4.18E-05
3.149187803,0.012198436,0.006182,-0.035553237,-0.008490791,-4.16E-05
3.158273935,0.012170134,0.0061407,-0.035553237,-0.002830264,-4.13E-05
3.168677807,0.012141831,0.0060997,-0.035717089,-0.002830264,-4.10E-05
3.178685904,0.012113528,0.0060589,-0.035797767,-0.002830264,-4.08E-05
3.189128876,0.012056923,0.0060184,-0.035736154,-0.005660527,-4.05E-05
3.199152946,0.011943713,0.005978,-0.035390048,-0.011321055,-4.04E-05
3.20960784,0.01191541,0.005938,-0.035467285,-0.002830264,-4.00E-05
3.219552994,0.011858805,0.0058981,-0.035467285,-0.005660527,-3.99E-05
3.229808807,0.011830502,0.0058585,-0.035476448,-0.002830264,-3.96E-05
3.240238905,0.011802199,0.0058191,-0.035550631,-0.002830264,-3.94E-05
3.250576973,0.011688989,0.0057799,-0.035198901,-0.011321055,-3.92E-05
3.260687828,0.011632384,0.005741,-0.035128249,-0.005660527,-3.89E-05
3.270748854,0.011575778,0.0057022,-0.035056963,-0.005660527,-3.88E-05
3.281148911,0.011519173,0.0056637,-0.034984718,-0.005660527,-3.85E-05
3.291228771,0.01149087,0.0056254,-0.035052443,-0.002830264,-3.83E-05
3.301576853,0.011405963,0.0055873,-0.034836452,-0.008490791,-3.81E-05
3.311900854,0.011292752,0.0055494,-0.034477346,-0.011321055,-3.79E-05
3.321945906,0.011264449,0.0055117,-0.034542004,-0.002830264,-3.77E-05
3.33233881,0.011207844,0.0054743,-0.034463859,-0.005660527,-3.74E-05
3.342404842,0.011179541,0.005437,-0.034526187,-0.002830264,-3.73E-05
3.352823973,0.011151239,0.0053999,-0.034588165,-0.002830264,-3.71E-05
3.362876892,0.011151239,0.005363,-0.03479012,0,-3.69E-05
3.373263836,0.011094634,0.0053264,-0.034708068,-0.005660527,-3.66E-05
3.383322954,0.011094634,0.0052899,-0.034908078,0,-3.65E-05
3.393636942,0.011066331,0.0052536,-0.034966061,-0.002830264,-3.63E-05
3.403963804,0.011009726,0.0052175,-0.034881132,-0.005660527,-3.61E-05
3.414012909,0.01083991,0.0051817,-0.03422844,-0.016981582,-3.58E-05
3.424438953,0.010755002,0.005146,-0.033999939,-0.008490791,-3.57E-05
3.434482813,0.010641791,0.0051105,-0.033628058,-0.011321055,-3.55E-05
3.444868803,0.010585186,0.0050752,-0.03353869,-0.005660527,-3.53E-05
3.454988956,0.010528581,0.0050401,-0.03344783,-0.005660527,-3.51E-05
3.465415955,0.010500278,0.0050052,-0.033498014,-0.002830264,-3.49E-05
3.47536397,0.01041537,0.0049705,-0.033498014,-0.008490791,-3.47E-05
3.485703945,0.010387068,0.004936,-0.033311145,-0.002830264,-3.45E-05
3.496033907,0.010330462,0.0049016,-0.033216917,-0.005660527,-3.44E-05
3.506067991,0.01030216,0.0048675,-0.033262297,-0.002830264,-3.41E-05
3.516469955,0.010273857,0.0048336,-0.033307235,-0.002830264,-3.39E-05
3.526513815,0.010245554,0.0047998,-0.033351159,-0.002830264,-3.38E-05
3.54061389,0.010217252,0.0047663,-0.033399626,-0.002830264,-3.35E-05
3.547841787,0.010188949,0.0047329,-0.033399626,-0.002830264,-3.34E-05
3.557896852,0.010047436,0.0046997,-0.032911805,-0.014151318,-3.32E-05
3.568271875,0.010019133,0.0046668,-0.032951461,-0.002830264,-3.29E-05
